track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
El Cielo,"Feid, Myke Towers, Sky Rompiendo",107753850,57,110,3.0,2023.0,6.0,2.0,1298.0,38.0,44.0,64.0,10.0,106.0,A#,Minor,72.0,17.0,64.0,7.0,0.0,10.0,5.0,?,,,,
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",177740666,213,810,3.0,2023.0,4.0,6.0,4277.0,66.0,145.0,111.0,11.0,128.0,G,Major,60.0,23.0,91.0,0.0,0.0,12.0,3.0,?,,,,
AMARGURA,Karol G,153372011,23,176,1.0,2023.0,2.0,24.0,1133.0,39.0,14.0,71.0,10.0,107.0,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0,?,,,,
(It Goes Like) Nanana - Edit,Peggy Gou,57876440,109,0,1.0,2023.0,6.0,15.0,2259.0,59.0,0.0,0.0,17.0,130.0,G,Minor,67.0,96.0,88.0,12.0,19.0,8.0,4.0,?,,,,
Another Love,Tom Odell,1813673666,"3,394",,1.0,2012.0,10.0,15.0,18371.0,83.0,250.0,122.0,19.0,123.0,E,Minor,45.0,13.0,54.0,70.0,0.0,9.0,4.0,?,,,,
Blinding Lights,The Weeknd,3703895074,"3,421",,1.0,2019.0,11.0,29.0,43899.0,69.0,672.0,199.0,20.0,171.0,C#,Major,50.0,38.0,80.0,0.0,0.0,9.0,7.0,2021-09-04 00:00:00,20.0,21.0,1.0,90.0
Moonlight,Kali Uchis,256483385,57,615,1.0,2023.0,2.0,24.0,2649.0,42.0,67.0,79.0,1.0,137.0,G,Minor,64.0,88.0,72.0,51.0,0.0,17.0,5.0,?,,,,
La Bachata,Manuel Turizo,1214083358,161,210,1.0,2022.0,5.0,26.0,6804.0,45.0,139.0,111.0,15.0,125.0,G,Minor,84.0,85.0,68.0,58.0,0.0,22.0,4.0,?,,,,
S91,Karol G,16011326,39,216,1.0,2023.0,7.0,14.0,525.0,41.0,34.0,115.0,6.0,128.0,,Minor,86.0,42.0,72.0,59.0,0.0,9.0,19.0,?,,,,
cardigan,Taylor Swift,812019557,142,215,1.0,2020.0,7.0,24.0,7923.0,29.0,106.0,112.0,4.0,130.0,,Minor,61.0,53.0,58.0,55.0,0.0,27.0,4.0,?,,,,
Tï¿½ï¿,"dennis, MC Kevin o Chris",111947664,73,167,2.0,2023.0,5.0,4.0,731.0,15.0,27.0,17.0,4.0,130.0,B,Major,86.0,59.0,96.0,50.0,1.0,9.0,5.0,?,,,,
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",156338624,102,37,2.0,2023.0,2.0,3.0,5184.0,41.0,154.0,84.0,14.0,133.0,F,Major,70.0,86.0,81.0,25.0,0.0,25.0,5.0,?,,,,
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",720434240,4,0,3.0,2022.0,6.0,24.0,3107.0,39.0,38.0,0.0,0.0,101.0,D,Major,88.0,72.0,59.0,62.0,0.0,9.0,3.0,?,,,,
BESO,"Rauw Alejandro, ROSALï¿½",357925728,182,171,2.0,2023.0,3.0,24.0,4053.0,50.0,82.0,121.0,12.0,95.0,F,Minor,77.0,53.0,64.0,74.0,0.0,17.0,14.0,?,,,,
Hey Mor,"Ozuna, Feid",674072710,89,16,2.0,2022.0,10.0,6.0,4637.0,38.0,63.0,79.0,11.0,98.0,C#,Minor,90.0,40.0,59.0,0.0,0.0,10.0,29.0,?,,,,
Yellow,Chris Molitor,1755214421,"4,053",0,1.0,1999.0,1.0,1.0,31358.0,43.0,196.0,2.0,5.0,173.0,B,Major,43.0,28.0,66.0,0.0,0.0,23.0,3.0,?,,,,
Karma,Taylor Swift,404562836,32,272,1.0,2022.0,10.0,21.0,3818.0,23.0,37.0,55.0,0.0,90.0,G#,Major,64.0,10.0,62.0,7.0,0.0,48.0,7.0,?,,,,
People,Libianca,373199958,169,529,1.0,2022.0,12.0,2.0,3506.0,56.0,105.0,64.0,8.0,198.0,A#,Minor,59.0,71.0,42.0,55.0,0.0,10.0,7.0,?,,,,
Overdrive,Post Malone,14780425,31,26,1.0,2023.0,7.0,14.0,410.0,36.0,36.0,32.0,1.0,140.0,C#,Major,56.0,48.0,73.0,0.0,0.0,35.0,4.0,?,,,,
Enchanted (Taylor's Version),Taylor Swift,39578178,8,5,1.0,2023.0,7.0,7.0,148.0,24.0,32.0,93.0,2.0,82.0,G#,Major,51.0,22.0,53.0,1.0,0.0,15.0,3.0,?,,,,
BABY HELLO,"Rauw Alejandro, Bizarrap",54266102,58,169,2.0,2023.0,6.0,23.0,1004.0,35.0,42.0,80.0,3.0,130.0,C#,Minor,77.0,84.0,89.0,17.0,0.0,43.0,5.0,?,,,,
Heat Waves,Glass Animals,2557975762,707,,1.0,2020.0,6.0,28.0,22543.0,63.0,386.0,144.0,28.0,81.0,B,Major,76.0,53.0,53.0,44.0,0.0,9.0,9.0,2021-11-06 00:00:00,13.0,14.0,12.0,41.0
golden hour,JVKE,751134527,109,230,1.0,2022.0,7.0,15.0,4511.0,36.0,70.0,58.0,18.0,94.0,C#,Minor,51.0,14.0,59.0,65.0,18.0,25.0,3.0,?,,,,
Sweater Weather,The Neighbourhood,2282771485,"1,056",,1.0,2012.0,5.0,14.0,16413.0,61.0,166.0,87.0,1.0,124.0,A#,Major,61.0,41.0,81.0,5.0,2.0,10.0,3.0,2014-03-08 00:00:00,45.0,39.0,14.0,37.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1356565093,164,176,2.0,2022.0,7.0,6.0,8506.0,45.0,94.0,65.0,14.0,128.0,D,Major,62.0,55.0,78.0,1.0,3.0,23.0,4.0,?,,,,
Viva La Vida,Coldplay,1592909789,"4,095",0,1.0,2008.0,1.0,1.0,33898.0,62.0,233.0,0.0,9.0,138.0,F,Minor,49.0,42.0,62.0,9.0,0.0,11.0,3.0,2009-05-09 00:00:00,48.0,45.0,1.0,51.0
Here With Me,d4vd,635412045,68,84,1.0,2022.0,7.0,17.0,3246.0,23.0,94.0,85.0,1.0,132.0,E,Major,58.0,27.0,48.0,50.0,0.0,12.0,3.0,?,,,,
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1230675890,331,154,2.0,2022.0,9.0,22.0,8576.0,42.0,216.0,108.0,26.0,131.0,D,Major,71.0,24.0,47.0,1.0,0.0,27.0,9.0,?,,,,
Yandel 150,"Yandel, Feid",585695368,80,194,2.0,2022.0,12.0,20.0,3618.0,38.0,47.0,74.0,14.0,168.0,F#,Minor,78.0,58.0,73.0,5.0,0.0,10.0,7.0,?,,,,
